profile,goal,jeePercentile,budget,rank,college,branch,matchScore,admissionCategory,annualTuition,annualHostel,total4YrCost,avgSalary,placementPct,isPartner,isNewGen,keyReasons
95+ CSE Placement,PLACEMENT,97,2000000,1,IIIT Hyderabad,CSE,100,Dream,160000,75000,940000,1600000,98,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,2,NIT Warangal,CSE,100,Dream,65000,35000,400000,1400000,98,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,3,RV College of Engineering,CSE,96.5,Target,120000,85000,820000,1100000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,4,Vellore Institute of Technology,CSE,95,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,5,Manipal Institute of Technology,CSE,93.9,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,6,RV College of Engineering (RVCE),CSE,93.7,Dream,250000,85000,1340000,1540000,98,FALSE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Placement average package exceeds ₹9 LPA
95+ CSE Placement,PLACEMENT,97,2000000,7,Vellore Institute of Technology (VIT),CSE,93.3,Target,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,8,Manipal Institute of Technology (MIT),CSE,92.5,Target,335000,110000,1780000,1250000,97,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,9,MAHE Manipal,CSE,91.2,Target,320000,110000,1720000,1200000,96,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
95+ CSE Placement,PLACEMENT,97,2000000,10,Pune Institute of Computer Technology,CSE,86.5,Target,105000,65000,680000,900000,92,TRUE,FALSE,Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,1,Vellore Institute of Technology,CSE,95,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
90 CSE Placement,PLACEMENT,90,1800000,2,Vellore Institute of Technology (VIT),CSE,93.3,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Excellent fit for your placement-focused goal — outstanding placements | Matches your #1 priority: Outstanding placements | Direct admission referral support via partner link
90 CSE Placement,PLACEMENT,90,1800000,3,Pune Institute of Computer Technology,CSE,86.5,Dream,105000,65000,680000,900000,92,TRUE,FALSE,Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,4,BMS College of Engineering,CSE,78.9,Dream,110000,70000,720000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,5,Thapar Institute of Engineering and Technology,CSE,77.8,Dream,190000,80000,1080000,850000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,6,SRM Institute of Science and Technology,CSE,76.8,Dream,250000,100000,1400000,800000,90,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,7,Amrita Vishwa Vidyapeetham,CSE,76.5,Dream,200000,85000,1140000,780000,88,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,8,DY Patil College of Engineering (Akurdi),CSE,74.3,Target,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,9,RV Institute of Technology and Management,CSE,74.1,Target,115000,70000,740000,750000,86,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Placement,PLACEMENT,90,1800000,10,KIIT University,CSE,69.3,Safe,160000,65000,900000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,1,DY Patil College of Engineering (Akurdi),CSE,74.3,Dream,135000,90000,900000,580000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,2,KIIT University,CSE,69.3,Dream,160000,65000,900000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,3,Dayananda Sagar College of Engineering,CSE,69,Dream,110000,60000,680000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,4,SRM University AP,CSE,68.4,Dream,180000,75000,1020000,650000,82,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,5,Manipal University Jaipur,CSE,66.7,Dream,195000,85000,1120000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,6,DY Patil College of Engineering,CSE,63.9,Dream,165000,75000,960000,550000,78,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,7,Chandigarh University,CSE,63.4,Safe,130000,55000,740000,500000,72,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,8,Lovely Professional University,CSE,60.1,Safe,120000,55000,700000,450000,70,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
80 CSE Placement,PLACEMENT,80,1200000,9,Galgotias University,CSE,57.1,Safe,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
70 CSE Budget,PLACEMENT,70,800000,1,Dayananda Sagar College of Engineering,CSE,68.3,Dream,110000,60000,680000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
70 CSE Budget,PLACEMENT,70,800000,2,Chandigarh University,CSE,62.7,Dream,130000,55000,740000,500000,72,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
70 CSE Budget,PLACEMENT,70,800000,3,Lovely Professional University,CSE,59.5,Target,120000,55000,700000,450000,70,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
70 CSE Budget,PLACEMENT,70,800000,4,Galgotias University,CSE,56.4,Safe,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
70 CSE Budget,PLACEMENT,70,800000,5,KIIT University,CSE,36.6,Dream,160000,65000,900000,600000,80,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
60 CSE Low Budget,PLACEMENT,60,600000,1,Galgotias University,CSE,38.3,Dream,115000,50000,660000,400000,65,TRUE,FALSE,Direct admission referral support via partner link | Exclusive CollegeMatch Partner
90 CSE Startup,STARTUP,90,2000000,1,Vellore Institute of Technology (VIT),CSE,98.9,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
90 CSE Startup,STARTUP,90,2000000,2,Vellore Institute of Technology,CSE,91.9,Dream,198000,95000,1172000,920000,95,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Placement average package exceeds ₹9 LPA
90 CSE Startup,STARTUP,90,2000000,3,BMS College of Engineering,CSE,87.7,Dream,110000,70000,720000,800000,90,TRUE,FALSE,Strong startup/entrepreneurship ecosystem at this college | Direct admission referral support via partner link | Exclusive CollegeMatch Partner
